Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
12/01/2022;7235.47;7249.88;7183.38;7237.19;0;0;4178124281
13/01/2022;7215.48;7227.35;7166.94;7201.14;0;0;4110040875
14/01/2022;7132.59;7171.40;7119.01;7143.00;0;0;4016673363
17/01/2022;7167.53;7213.70;7148.98;7201.64;0;0;2839975590
18/01/2022;7172.43;7175.46;7098.19;7133.83;0;0;3980683923
19/01/2022;7104.11;7211.24;7104.11;7172.98;0;0;4331345728
20/01/2022;7190.02;7199.97;7123.62;7194.16;0;0;3888619750
21/01/2022;7088.44;7122.06;7013.49;7068.59;0;0;5999027808
24/01/2022;7014.84;7070.92;6754.24;6787.79;0;0;6230363811
25/01/2022;6870.27;6890.54;6776.80;6837.96;0;0;4598986063
26/01/2022;6901.74;7024.14;6901.74;6981.96;0;0;4524563486
27/01/2022;6879.64;7053.45;6873.60;7023.80;0;0;4806994409
28/01/2022;7043.43;7053.00;6846.22;6965.88;0;0;5292106852
31/01/2022;7039.71;7043.22;6937.10;6999.20;0;0;4799326446
01/02/2022;7052.30;7105.23;7035.91;7099.49;0;0;3983284956
02/02/2022;7117.45;7150.54;7109.30;7115.27;0;0;3808618903
03/02/2022;7115.30;7125.58;6995.41;7005.63;0;0;4465895470
04/02/2022;7049.80;7066.44;6914.77;6951.38;0;0;4584076308
07/02/2022;6987.17;7025.59;6929.71;7009.25;0;0;3471780824
08/02/2022;7008.20;7085.64;6994.15;7028.41;0;0;4425221044
09/02/2022;7086.34;7146.31;7086.34;7130.88;0;0;4509560223
10/02/2022;7141.69;7169.63;7051.60;7101.55;0;0;4483412810
11/02/2022;7025.50;7071.01;6992.09;7011.60;0;0;4368826471
14/02/2022;6868.07;6875.31;6757.33;6852.20;0;0;5581839450
15/02/2022;6830.74;6983.14;6823.45;6979.97;0;0;4529552062
16/02/2022;7009.69;7031.93;6931.09;6964.98;0;0;3661240170
17/02/2022;6999.13;7017.07;6905.69;6946.82;0;0;4191123956
18/02/2022;6951.83;6995.62;6895.09;6929.63;0;0;5300335646
21/02/2022;6984.31;6986.83;6744.13;6788.34;0;0;3906165582
22/02/2022;6633.74;6834.77;6633.74;6787.60;0;0;4704336833
23/02/2022;6801.66;6904.81;6768.38;6780.67;0;0;4193339781
24/02/2022;6496.25;6617.09;6432.89;6521.05;0;0;9175867038
25/02/2022;6571.95;6762.78;6521.56;6752.43;0;0;0
28/02/2022;6620.48;6684.54;6516.16;6658.83;0;0;7821180099
01/03/2022;6646.16;6662.25;6396.49;6396.49;0;0;6768731569
02/03/2022;6359.98;6544.15;6312.30;6498.02;0;0;7244860540
